country;Region;inflation;lCO2;lGDPc;GDP.growth;internet;lagv
Jamaica;AM;7,529692443;1,05523693;8,581570642;1,723211104;37,43861341;2,024350839
Japan;AS;-0,283333333;2,229135983;10,74138362;-0,454282297;79,05411352;0,768697034
Jordan;AS;4,158333333;1,191654724;8,358449954;2,560808799;34,9;1,46466028
Kazakhstan;AS;8,348569186;2,760648821;9,401182761;7,2;50,6;1,867751175
Kenya;AF;14,0215499;-1,116056037;6,920552813;6,11161346;28;3,410284968
Korea, Rep.;AS;4;2,471547552;10,09228103;3,681704667;83,75912015;1,257594311
Kuwait;AS;4,905335628;3,335864296;10,76956615;9,628436082;65,76907069;0,341444421
Kyrgyz Republic;AS;16,49588472;0,18198119;7,024545082;5,956274377;17,5;2,976782145
Lao PDR;AS;7,576924053;-1,66648189;7,170872799;8,038652681;9;3,418230724
Latvia;EU;4,401154401;1,331521715;9,531061334;6,211500744;69,74995456;1,582511008
Lesotho;AF;5,024816566;0,079060325;7,12383853;4,04854461;4,2248;2,253112389
Lithuania;EU;4,133333333;1,512389095;9,572703759;6,044910029;63,6399774;1,580942992
Luxembourg;EU;3,409795876;3,03964445;11,63726086;2,565685444;90,02985856;0,248607913
Macao SAR, China;AS;5,801242236;0,757557991;11,11468832;21,67259965;60,20369672;0
Macedonia, FYR;EU;3,904754221;1,508337231;8,533059076;2,339892284;56,7;2,473862925
Madagascar;AF;9,482540486;-2,180431131;6,123214714;1,454392168;1,9;3,379915024
Malawi;AF;7,622822628;-2,535381526;6,264638901;4,854055109;3,33;3,473457789
Malaysia;AS;3,2;2,066713834;9,252226381;5,293784657;61;2,521989914
Maldives;AS;12,82983393;1,074238966;8,77918053;8,70933893;34;1,633594324
Mali;AF;2,855534106;-2,52627406;6,721244035;7,749889395;2,2;3,652993547
Mauritania;AF;5,642433453;-0,466449212;7,246132221;4,704066531;4,5;2,958105212
Mauritius;AF;6,531353547;1,140096725;9,103270593;3,889883083;34,95;1,524756655
Mexico;AM;3,407379617;1,354831457;9,182997722;4,044613879;37,17629541;1,470679832
Moldova;EU;7,610607209;0,335630306;7,586078816;6,414350738;38;2,7575561
Mongolia;AS;9,484093293;1,933714155;8,235607577;17,29077735;12,49999111;2,548636874
Montenegro;EU;3,450143112;1,422034887;8,898194102;3,228451021;35,61154125;2,364182313
Morocco;AF;0,92236032;0,552686433;8,028293155;5,245697297;46,1074826;2,724253604
Mozambique;AF;10,35113257;-2,031110108;6,263191485;7,117606632;4,3;3,3864295
Namibia;AF;5,005595181;0,214434125;8,619680312;5,091338198;12;2,292973514
Nepal;AS;9,271714177;-1,835871528;6,545181828;3,421828241;9;3,671184559
Netherlands;EU;2,341070178;2,309013361;10,88813342;1,663626344;91,41999576;0,983231083
New Zealand;OC;4,432943294;1,963476506;10,55650769;2,69189097;81,23;2,060835368
Nicaragua;AM;8,082672658;-0,170145639;7,42639918;6,231594567;10,6;3,087725587
Niger;AF;2,94238514;-2,477436488;5,935424601;2,31140022;1,3;3,669969746
Nigeria;AF;10,84079259;-0,620831058;7,829689505;4,887386611;28,43;3,147989673
North America;AM;3,034488329;2,817330222;10,82011742;1,749546391;71,04254959;0,874644652
Norway;EU;1,300970874;2,21842917;11,51866016;0,96877971;93,48998265;0,917862874
Oman;AF;4,070057342;3,005875384;9,960072768;-1,091025209;48;0,813436664
Pakistan;AS;11,91676947;-0,060630301;7,115432178;2,74840255;9;3,296750691
Panama;AM;5,875802437;0,965186126;9,141600142;11,80806624;42,7;1,507906112
Paraguay;AM;8,253968254;-0,172075932;8,289915733;4,342407086;24,76351588;3,147415776
Peru;AM;3,370685025;0,57842809;8,653767252;6,452216002;36,01;2,170882775
Philippines;AS;4,647302905;-0,141741756;7,771427011;3,659755139;29;2,618939233
Poland;EU;4,258333333;2,120557898;9,539006627;5,008511757;61,94999897;1,43937953
Portugal;EU;3,653011004;1,549655981;10,05168085;-1,826852906;55,24999688;1,125023129
Qatar;AS;1,916389889;3,784619686;11,39769307;13,37517641;69;0,091170233
Romania;EU;5,78777738;1,437595685;9,126988961;1,05629446;40,00999678;2,120311261
Russian Federation;EU;8,428175946;2,537445986;9,561847648;4,264176565;49;1,601851768
Rwanda;AF;5,670682731;-2,766619417;6,408368789;7,851934941;7;3,506916647
Sao Tome and Principe;AM;14,32090217;-0,531182669;7,225577481;4,828586114;20,1612;3,200402623
Saudi Arabia;AS;5,823591056;2,894388719;10,05432255;9,95893281;47,5;1,071017647
Senegal;AF;3,403228298;-0,530460211;6,985763474;1,761118048;9,8;2,812448362
Serbia;EU;11,13739763;1,916792456;8,767686004;1,401465736;42,2;2,458368336
Seychelles;AF;2,559267722;1,92215981;9,408296992;7,887279597;43,16400446;1,169808887
Sierra Leone;AF;16,19180806;-1,883584222;6,225080505;6,268629628;0,9;4,040727043
Singapore;AS;5,252918288;1,463292771;10,87981299;6,207448728;71;0,037048436
Slovak Republic;EU;3,919285991;1,851214139;9,805804347;2,841938591;74,43999717;1,477671528
Slovenia;EU;1,810579921;2,01547082;10,12597864;0,64933632;67,33999481;1,189640943
South Africa;AF;4,995510185;2,225471705;8,997322529;3,212451755;33,97;1,257631347
South Asia;AS;9,736687159;0,343240707;7,223262812;6,321693763;9,396049144;3,002781367
Spain;EU;3,196242972;1,756264275;10,36823483;-1,000080488;67,6;1,246878024
Sri Lanka;AS;6,716768436;-0,285696346;8,077494189;8,404738131;15;2,361155497
St. Kitts and Nevis;AM;5,835165196;1,619579153;9,527871694;1,695115944;63,2;1,014622188
St. Lucia;AM;2,769407941;0,819966417;8,881234712;0,701816462;44;1,263177174
St. Vincent and the Grenadines;AM;3,186031116;0,77928972;8,729668329;-0,423644081;43,01;2,136145183
Sudan;AF;22,11212074;-1,051112316;7,375534692;-1,967728979;17,30391318;3,2748205
Suriname;AM;17,71177964;1,294703431;9,041744694;5,267209149;32;2,38268405
Swaziland;AF;6,105198202;-0,145039283;8,317127349;1,327171792;18,13;2,052449175
Sweden;EU;2,961150738;1,708091856;10,99530489;2,664407951;92,76998606;0,967163445
Switzerland;EU;0,23134621;1,531526083;11,38512175;1,804553915;85,19302818;0,546202237
Tajikistan;AS;12,43154904;-1,024578779;6,734853065;7,399999383;13,03;3,339610108
Tanzania;AF;12,69096947;-1,864750248;6,607168837;7,904507572;3,2;3,474716066
Thailand;AS;3,809820409;1,511713001;8,619658506;0,833682448;23,66992562;2,533792844
Timor-Leste;AS;13,49984024;-1,810037009;6,923348991;9,528907923;0,9;2,894428559
Togo;AF;3,572277228;-1,141174479;6,349183926;4,883763946;3,5;3,458235609
Tonga;OC;6,261404365;-0,016574645;8,34917511;2,01912478;25;3,028458296
Trinidad and Tobago;AM;5,099366154;3,614696016;9,813967073;0,006985199;55,2;0,399523807
